noise,ruleLabel,rule,trial,primaryClass,tags,steps,gridSize,initialDensity,wrap,finalLive,finalDensity,finalActivity,avgLastDensity,avgLastActivity,finalBoundingBoxArea,avgLastArea,densityTrend,areaTrend,repeatPeriod,centerShift
0.000,"Sample 51","B12/S023478",1,"Disordered","",500,500,0.240,true,119437,0.477748,0.026084,0.477740,0.025898,250000,1.000000,0.003251,0.000000,0,0.000018
0.000,"Sample 52","B12578/S023567",1,"Disordered","",500,500,0.240,true,160760,0.643040,0.313492,0.641952,0.313762,250000,1.000000,0.000375,0.000000,0,0.000139
0.000,"Sample 53","B0147/S03578",1,"Disordered","",500,500,0.240,true,97900,0.391600,0.442884,0.391241,0.443911,250000,1.000000,-0.000839,0.000000,0,0.000072
0.000,"Sample 54","B12467/S024567",1,"Expanding","",500,500,0.240,true,190480,0.761920,0.171596,0.762125,0.173450,250000,1.000000,0.010821,0.000000,0,0.000221
0.000,"Sample 55","B123457/S23467",1,"Expanding","",500,500,0.240,true,171058,0.684232,0.437636,0.685811,0.439454,250000,1.000000,-0.000819,0.000000,0,0.000048
0.000,"Sample 56","B13568/S1468",1,"Disordered","",500,500,0.240,true,124994,0.499976,0.583268,0.499799,0.584509,250000,1.000000,0.000166,0.000000,0,0.000294
0.000,"Sample 57","B01368/S13568",1,"Disordered","",500,500,0.240,true,119757,0.479028,0.404600,0.478564,0.403480,250000,1.000000,-0.001176,0.000000,0,0.000072
0.000,"Sample 58","B148/S0368",1,"Structured Dynamic","",500,500,0.240,true,82352,0.329408,0.445256,0.328986,0.444082,250000,1.000000,-0.000202,0.000000,0,0.000294
0.000,"Sample 59","B01236/S012578",1,"Disordered","",500,500,0.240,true,131228,0.524912,0.528204,0.523266,0.527731,250000,1.000000,-0.009958,0.000000,0,0.000077
0.000,"Sample 60","B348/S023468",1,"Disordered","",500,500,0.240,true,137176,0.548704,0.341528,0.550770,0.340687,250000,1.000000,0.003475,0.000000,0,0.000084
0.000,"Sample 61","B1457/S01567",1,"Disordered","",500,500,0.240,true,107462,0.429848,0.530072,0.430281,0.531852,250000,1.000000,0.008039,0.000000,0,0.001056
0.000,"Sample 62","B237/S0134567",1,"Disordered","",500,500,0.240,true,175645,0.702580,0.016560,0.702717,0.016455,250000,1.000000,0.001414,0.000000,0,0.000011
0.000,"Sample 63","B014568/S2467",1,"Expanding","",500,500,0.240,true,164084,0.656336,0.511676,0.655730,0.511610,250000,1.000000,0.004020,0.000000,0,0.000021
0.000,"Sample 64","B0123578/S0145",1,"Periodic","",500,500,0.240,true,2907,0.011628,0.995688,0.500971,0.996683,250000,1.000000,-0.002630,0.000000,120,0.005100
0.000,"Sample 65","B1268/S34",1,"Disordered","",500,500,0.240,true,103156,0.412624,0.425236,0.411795,0.425286,250000,1.000000,-0.000751,0.000000,0,0.000025
0.000,"Sample 66","B3458/S0347",1,"Disordered","",500,500,0.240,true,134929,0.539716,0.582640,0.538239,0.582448,250000,1.000000,0.008248,0.000000,0,0.000057
0.000,"Sample 67","B56/S7",1,"Extinct","",500,500,0.240,true,0,0.000000,0.000000,0.000000,0.000000,0,0.000000,-0.000171,-0.016368,1,0.000000
0.000,"Sample 68","B3478/S067",1,"Periodic","",500,500,0.240,true,8650,0.034600,0.011992,0.034558,0.012066,250000,1.000000,-0.014020,0.000000,4,0.001418
0.000,"Sample 69","B023467/S05",1,"Disordered","",500,500,0.240,true,123373,0.493492,0.757804,0.493088,0.758538,250000,1.000000,-0.000480,0.000000,0,0.000063
0.000,"Sample 70","B1457/S2457",1,"Disordered","",500,500,0.240,true,153793,0.615172,0.456872,0.615119,0.457257,250000,1.000000,0.004488,0.000000,0,0.000097
0.000,"Sample 71","B12357/S456",1,"Disordered","",500,500,0.240,true,160619,0.642476,0.400328,0.640422,0.401072,250000,1.000000,-0.000497,0.000000,0,0.000036
0.000,"Sample 72","B028/S1234578",1,"Frozen","",500,500,0.240,true,126008,0.504032,0.000004,0.504034,0.000004,250000,1.000000,-0.000324,0.000000,2,0.000003
0.000,"Sample 73","B3678/S2348",1,"Disordered","",500,500,0.240,true,120753,0.483012,0.365360,0.483161,0.366438,250000,1.000000,0.009410,0.000000,0,0.000176
0.000,"Sample 74","B047/S02378",1,"Structured Dynamic","",500,500,0.240,true,74425,0.297700,0.254968,0.297128,0.253897,250000,1.000000,-0.000251,0.000000,0,0.000564
0.000,"Sample 75","B2457/S1235678",1,"Periodic","",500,500,0.240,true,236536,0.946144,0.000096,0.946144,0.000096,250000,1.000000,0.010835,0.000000,2,0.000017
0.000,"Sample 76","B01346/S013568",1,"Disordered","",500,500,0.240,true,152678,0.610712,0.434392,0.611681,0.436735,250000,1.000000,-0.000228,0.000000,0,0.000076
0.000,"Sample 77","B0347/S2567",1,"Disordered","",500,500,0.240,true,134475,0.537900,0.459052,0.538031,0.457988,250000,1.000000,0.004058,0.000000,0,0.000259
0.000,"Sample 78","B134/S123578",1,"Disordered","",500,500,0.240,true,135937,0.543748,0.431992,0.544426,0.430988,250000,1.000000,-0.000501,0.000000,0,0.000051
0.000,"Sample 79","B0234678/S12567",1,"Expanding","",500,500,0.240,true,177582,0.710328,0.438240,0.712397,0.437003,250000,1.000000,0.000417,0.000000,0,0.000012
0.000,"Sample 80","B2568/S0156",1,"Structured Dynamic","",500,500,0.240,true,85170,0.340680,0.471164,0.340279,0.472665,250000,1.000000,0.000232,0.000000,0,0.000155
0.000,"Sample 81","B17/S2348",1,"Disordered","",500,500,0.240,true,106536,0.426144,0.021508,0.425934,0.021369,250000,1.000000,0.004247,0.000000,0,0.000047
0.000,"Sample 82","B012/S02457",1,"Disordered","",500,500,0.240,true,106486,0.425944,0.358164,0.426607,0.359256,250000,1.000000,-0.002103,0.000000,0,0.000038
0.000,"Sample 83","B0123468/S145",1,"Periodic","",500,500,0.240,true,8121,0.032484,0.994288,0.500740,0.995486,250000,1.000000,-0.000884,0.000000,8,0.001331
0.000,"Sample 84","B012357/S023467",1,"Disordered","",500,500,0.240,true,158161,0.632644,0.391256,0.632708,0.390650,250000,1.000000,-0.002025,0.000000,0,0.000098
0.000,"Sample 85","B01248/S0358",1,"Disordered","",500,500,0.240,true,114994,0.459976,0.532560,0.461577,0.533889,250000,1.000000,-0.001904,0.000000,0,0.000067
0.000,"Sample 86","B568/S016",1,"Frozen","",500,500,0.240,true,26079,0.104316,0.000000,0.104316,0.000000,250000,1.000000,-0.000075,0.000000,1,0.000017
0.000,"Sample 87","B012456/S0137",1,"Disordered","",500,500,0.240,true,126668,0.506672,0.723944,0.505454,0.725129,250000,1.000000,-0.001878,0.000000,0,0.000029
0.000,"Sample 88","B016/S128",1,"Disordered","",500,500,0.240,true,87946,0.351784,0.446224,0.353944,0.445991,250000,1.000000,-0.000713,0.000000,0,0.000155
