noise,label,rule,dominantClass,distribution,extinctPct,frozenPct,periodicPct,expandingPct,disorderedPct,structuredPct,boundedPct,avgFinalDensity,avgLastActivity,avgLastArea,avgDensityTrend,avgAreaTrend,avgCenterShift,mobilePct
0.000,"Sample 51","B12/S023478","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.477748,0.025898,1.000000,0.003251,0.000000,0.000018,0.000
0.000,"Sample 52","B12578/S023567","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.643040,0.313762,1.000000,0.000375,0.000000,0.000139,0.000
0.000,"Sample 53","B0147/S03578","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.391600,0.443911,1.000000,-0.000839,0.000000,0.000072,0.000
0.000,"Sample 54","B12467/S024567","Expanding","Expanding: 100%",0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.761920,0.173450,1.000000,0.010821,0.000000,0.000221,0.000
0.000,"Sample 55","B123457/S23467","Expanding","Expanding: 100%",0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.684232,0.439454,1.000000,-0.000819,0.000000,0.000048,0.000
0.000,"Sample 56","B13568/S1468","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.499976,0.584509,1.000000,0.000166,0.000000,0.000294,0.000
0.000,"Sample 57","B01368/S13568","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.479028,0.403480,1.000000,-0.001176,0.000000,0.000072,0.000
0.000,"Sample 58","B148/S0368","Structured Dynamic","Structured Dynamic: 100%",0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.329408,0.444082,1.000000,-0.000202,0.000000,0.000294,0.000
0.000,"Sample 59","B01236/S012578","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.524912,0.527731,1.000000,-0.009958,0.000000,0.000077,0.000
0.000,"Sample 60","B348/S023468","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.548704,0.340687,1.000000,0.003475,0.000000,0.000084,0.000
0.000,"Sample 61","B1457/S01567","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.429848,0.531852,1.000000,0.008039,0.000000,0.001056,0.000
0.000,"Sample 62","B237/S0134567","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.702580,0.016455,1.000000,0.001414,0.000000,0.000011,0.000
0.000,"Sample 63","B014568/S2467","Expanding","Expanding: 100%",0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.656336,0.511610,1.000000,0.004020,0.000000,0.000021,0.000
0.000,"Sample 64","B0123578/S0145","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.011628,0.996683,1.000000,-0.002630,0.000000,0.005100,0.000
0.000,"Sample 65","B1268/S34","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.412624,0.425286,1.000000,-0.000751,0.000000,0.000025,0.000
0.000,"Sample 66","B3458/S0347","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.539716,0.582448,1.000000,0.008248,0.000000,0.000057,0.000
0.000,"Sample 67","B56/S7","Extinct","Extinct: 100%",1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000,-0.000171,-0.016368,0.000000,0.000
0.000,"Sample 68","B3478/S067","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.034600,0.012066,1.000000,-0.014020,0.000000,0.001418,0.000
0.000,"Sample 69","B023467/S05","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.493492,0.758538,1.000000,-0.000480,0.000000,0.000063,0.000
0.000,"Sample 70","B1457/S2457","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.615172,0.457257,1.000000,0.004488,0.000000,0.000097,0.000
0.000,"Sample 71","B12357/S456","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.642476,0.401072,1.000000,-0.000497,0.000000,0.000036,0.000
