label,rule,dominantClass,distribution,extinctPct,frozenPct,periodicPct,expandingPct,disorderedPct,structuredPct,boundedPct,avgFinalDensity,avgLastActivity,avgLastArea,avgDensityTrend,avgAreaTrend,avgCenterShift,mobilePct
"Sample 61","B1457/S01567","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.432180","0.530904","1.000000","0.009526","0.000000","0.003150","0.000"
"Sample 62","B237/S0134567","Periodic","Periodic: 100%","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.703280","0.016451","1.000000","0.001447","0.000000","0.000088","0.000"
"Sample 63","B014568/S2467","Expanding","Expanding: 100%","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.653280","0.511739","1.000000","0.003830","0.000000","0.000406","0.000"
"Sample 64","B0123578/S0145","Periodic","Periodic: 100%","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.012400","0.996741","0.962480","-0.002491","-0.018648","0.037238","0.000"
"Sample 65","B1268/S34","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.412060","0.425034","1.000000","-0.001057","0.000000","0.000409","0.000"
"Sample 66","B3458/S0347","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.540680","0.582480","1.000000","0.008131","0.000000","0.000747","0.000"
"Sample 67","B56/S7","Extinct","Extinct: 100%","1.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000000","0.000000","0.000000","-0.000166","-0.009721","0.000000","0.000"
"Sample 68","B3478/S067","Periodic","Periodic: 100%","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.034420","0.011045","0.998000","-0.014068","-0.000350","0.005043","0.000"
"Sample 69","B023467/S05","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.494070","0.758265","1.000000","-0.000430","0.000000","0.000364","0.000"
"Sample 70","B1457/S2457","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.617890","0.457531","1.000000","0.005063","0.000000","0.000524","0.000"
"Sample 71","B12357/S456","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.640830","0.401031","1.000000","-0.000343","0.000000","0.000338","0.000"
"Sample 72","B028/S1234578","Frozen","Frozen: 100%","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.504170","0.000000","1.000000","-0.000337","0.000000","0.000039","0.000"
"Sample 73","B3678/S2348","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.485310","0.366799","1.000000","0.009528","0.000000","0.000972","0.000"
"Sample 74","B047/S02378","Structured Dynamic","Structured Dynamic: 100%","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.297860","0.253246","1.000000","-0.000685","0.000000","0.001812","0.000"
"Sample 75","B2457/S1235678","Frozen","Frozen: 90% / Periodic: 10%","0.000","0.900","0.100","0.000","0.000","0.000","0.000","0.945730","0.000080","1.000000","0.010836","0.000000","0.000140","0.000"
"Sample 76","B01346/S013568","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.612960","0.436929","1.000000","-0.000414","0.000000","0.000486","0.000"
"Sample 77","B0347/S2567","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.542000","0.456669","1.000000","0.005807","0.000000","0.001635","0.000"
"Sample 78","B134/S123578","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.544420","0.430766","1.000000","-0.000842","0.000000","0.000395","0.000"
